t (s);roll (deg);cons (deg);TL (%);TR (%)
1.129344;-6.899994;0.0;70.0;10.0
1.139148;-6.899994;0.0;36.21;43.78
1.149124;-6.899994;0.0;36.19;43.8
1.159128;-6.899994;0.0;36.21;43.78
1.169116;-6.899994;0.0;36.19;43.8
1.1791;-6.9100037;0.0;36.19;43.8
1.189084;-6.899994;0.0;36.22;43.77
1.199076;-6.9100037;0.0;36.19;43.8
1.209092;-6.9100037;0.0;36.2;43.79
1.219068;-6.9100037;0.0;36.16;43.83
1.229056;-6.9100037;0.0;36.19;43.8
1.23904;-6.919998;0.0;36.14;43.85
1.249036;-6.9400024;0.0;36.12;43.87
1.25902;-6.949997;0.0;36.11;43.88
1.269028;-6.970001;0.0;36.04;43.95
1.279008;-6.9900055;0.0;36.06;43.93
1.28902;-7.029999;0.0;35.96;44.03
1.298988;-7.0599976;0.0;35.94;44.05
1.308996;-7.100006;0.0;35.92;44.07
1.319004;-7.1399994;0.0;35.86;44.13
1.328988;-7.169998;0.0;35.88;44.11
1.338964;-7.220001;0.0;35.82;44.17
1.34896;-7.2700043;0.0;35.75;44.24
1.358952;-7.3200073;0.0;35.73;44.26
1.368948;-7.3600006;0.0;35.75;44.24
1.37894;-7.4100037;0.0;35.68;44.31
1.388936;-7.4400024;0.0;35.76;44.23
1.398928;-7.470001;0.0;35.74;44.25
1.408936;-7.4900055;0.0;35.76;44.23
1.418924;-7.5;0.0;35.82;44.17
1.428924;-7.5;0.0;35.9;44.09
1.438916;-7.470001;0.0;36.01;43.98
1.448892;-7.4400024;0.0;36.04;43.95
1.458884;-7.3899994;0.0;36.2;43.79
1.468888;-7.330002;0.0;36.27;43.72
1.47886;-7.2400055;0.0;36.48;43.51
1.489252;-7.1399994;0.0;36.54;43.45
1.49886;-7.029999;0.0;36.71;43.28
1.508856;-6.8899994;0.0;36.91;43.08
1.518852;-6.7400055;0.0;37.05;42.94
1.528828;-6.5700073;0.0;37.22;42.77
1.538816;-6.3899994;0.0;37.37;42.62
1.548808;-6.199997;0.0;37.57;42.42
1.558796;-5.9900055;0.0;37.75;42.24
1.568772;-5.7700043;0.0;37.94;42.05
1.578772;-5.5399933;0.0;38.11;41.88
1.58876;-5.2899933;0.0;38.32;41.67
1.598768;-5.029999;0.0;38.51;41.48
1.608776;-4.7599945;0.0;38.76;41.23
1.61876;-4.4799957;0.0;38.96;41.03
1.628752;-4.1900024;0.0;39.11;40.88
1.638752;-3.899994;0.0;39.33;40.66
1.648744;-3.5899963;0.0;39.55;40.44
1.658728;-3.2799988;0.0;39.73;40.26
1.668724;-2.9700012;0.0;39.92;40.07
1.6791;-2.6600037;0.0;40.04;39.95
1.688704;-2.3399963;0.0;40.38;39.61
1.69868;-2.0200043;0.0;40.51;39.48
1.708688;-1.699997;0.0;40.66;39.33
1.7187;-1.3699951;0.0;40.85;39.14
1.728708;-1.050003;0.0;41.05;38.94
1.738688;-0.7299957;0.0;41.19;38.8
1.748676;-0.41000366;0.0;41.37;38.62
1.758676;-0.1000061;0.0;41.51;38.48
1.768648;0.21000671;0.0;41.67;38.32
1.77868;0.5299988;0.0;41.84;38.15
1.788656;0.83000183;0.0;41.96;38.03
1.79864;1.1199951;0.0;42.07;37.92
1.808636;1.3999939;0.0;42.21;37.78
1.81862;1.6799927;0.0;42.3;37.69
1.828608;1.949997;0.0;42.43;37.56
1.838628;2.2100067;0.0;42.52;37.47
1.848584;2.4600067;0.0;42.6;37.39
1.858988;2.699997;0.0;42.6;37.39
1.868572;2.9299927;0.0;42.81;37.18
1.87856;3.130005;0.0;42.75;37.24
1.888576;3.3399963;0.0;42.86;37.13
1.898548;3.5200043;0.0;42.88;37.11
1.908564;3.699997;0.0;42.91;37.08
1.918576;3.850006;0.0;42.88;37.11
1.928552;3.9799957;0.0;42.84;37.15
1.93894;4.1100006;0.0;42.86;37.13
1.948536;4.199997;0.0;42.81;37.18
1.958512;4.279999;0.0;42.72;37.27
1.968904;4.3399963;0.0;42.68;37.31
1.9785;4.380005;0.0;42.61;37.38
1.9885;4.3899994;0.0;42.49;37.5
1.998472;4.3899994;0.0;42.42;37.57
2.008484;4.380005;0.0;42.35;37.64
2.018452;4.3399963;0.0;42.15;37.84
2.028464;4.2700043;0.0;42.03;37.96
2.038448;4.1900024;0.0;41.89;38.1
2.048432;4.0899963;0.0;41.74;38.25
2.05844;3.9700012;0.0;41.58;38.41
2.068428;3.8399963;0.0;41.46;38.53
2.078432;3.6799927;0.0;41.25;38.74
2.088396;3.5200043;0.0;41.12;38.87
2.098392;3.3399963;0.0;40.93;39.06
2.108392;3.149994;0.0;40.77;39.22
2.118372;2.9400024;0.0;40.58;39.41
2.128408;2.7299957;0.0;40.43;39.56
2.138368;2.5;0.0;40.24;39.75
2.148376;2.2599945;0.0;40.02;39.97
2.158376;2.0099945;0.0;39.87;40.12
2.16836;1.7599945;0.0;39.68;40.31
2.178348;1.4900055;0.0;39.48;40.51
2.188336;1.2200012;0.0;39.32;40.67
2.198336;0.94000244;0.0;39.14;40.85
2.208328;0.66999817;0.0;38.97;41.02
2.21834;0.36999512;0.0;38.73;41.26
2.228332;0.08000183;0.0;38.6;41.39
2.238292;-0.21000671;0.0;38.42;41.57
2.248304;-0.5;0.0;38.25;41.74
2.258312;-0.80000305;0.0;38.07;41.92
2.268276;-1.0899963;0.0;37.95;42.04
2.278292;-1.3699951;0.0;37.86;42.13
2.28826;-1.6499939;0.0;37.67;42.32
2.298268;-1.9299927;0.0;37.56;42.43
2.30826;-2.199997;0.0;37.42;42.57
2.318228;-2.4600067;0.0;37.32;42.67
2.328216;-2.7100067;0.0;37.25;42.74
2.33822;-2.9600067;0.0;37.16;42.83
2.348204;-3.1900024;0.0;37.1;42.89
2.35818;-3.4100037;0.0;37.03;42.96
2.368212;-3.6100006;0.0;37.01;42.98
2.378184;-3.7899933;0.0;37.0;42.99
2.388168;-3.9600067;0.0;36.94;43.05
2.398168;-4.119995;0.0;36.93;43.06
2.408556;-4.2700043;0.0;36.94;43.05
2.418148;-4.4100037;0.0;36.87;43.12
2.428148;-4.5200043;0.0;36.96;43.03
2.438124;-4.619995;0.0;36.96;43.03
2.448128;-4.6900024;0.0;37.04;42.95
2.458124;-4.7599945;0.0;37.04;42.95
2.468132;-4.800003;0.0;37.14;42.85
2.478544;-4.8399963;0.0;37.16;42.83
2.488136;-4.869995;0.0;37.17;42.82
2.498116;-4.880005;0.0;37.29;42.7
2.50814;-4.869995;0.0;37.36;42.63
2.518104;-4.8399963;0.0;37.48;42.51
2.5281;-4.800003;0.0;37.55;42.44
2.538096;-4.75;0.0;37.64;42.35
2.548068;-4.6799927;0.0;37.77;42.22
2.558036;-4.600006;0.0;37.9;42.09
2.56804;-4.4900055;0.0;38.05;41.94
2.578032;-4.380005;0.0;38.17;41.82
2.588044;-4.25;0.0;38.32;41.67
2.598028;-4.100006;0.0;38.45;41.54
2.608032;-3.9600067;0.0;38.56;41.43
2.618016;-3.7899933;0.0;38.76;41.23
2.628004;-3.6100006;0.0;38.89;41.1
2.637988;-3.4199982;0.0;39.07;40.92
2.647988;-3.2100067;0.0;39.27;40.72
2.657996;-3.0;0.0;39.41;40.58
2.667976;-2.7799988;0.0;39.56;40.43
2.677968;-2.550003;0.0;39.76;40.23
2.68796;-2.3099976;0.0;39.93;40.06
2.697976;-2.0700073;0.0;40.05;39.94
2.707968;-1.8200073;0.0;40.24;39.75
2.717944;-1.5599976;0.0;40.44;39.55
2.727948;-1.3099976;0.0;40.56;39.43
2.737944;-1.0399933;0.0;40.75;39.24
2.747936;-0.7799988;0.0;40.87;39.12
2.757952;-0.5200043;0.0;41.0;38.99
2.76792;-0.2599945;0.0;41.16;38.83
2.777936;0.0;0.0;41.31;38.68
2.787904;0.25;0.0;41.39;38.6
2.797924;0.5;0.0;41.52;38.47
2.807892;0.75;0.0;41.63;38.36
2.817896;0.9799957;0.0;41.71;38.28
2.827868;1.2100067;0.0;41.8;38.19
2.837872;1.4400024;0.0;41.93;38.06
2.84786;1.6499939;0.0;41.98;38.01
2.857848;1.8600006;0.0;42.06;37.93
2.867848;2.0599976;0.0;42.15;37.84
2.877824;2.2599945;0.0;42.22;37.77
2.887804;2.4299927;0.0;42.22;37.77
2.897816;2.6100006;0.0;42.3;37.69
2.9078;2.7700043;0.0;42.31;37.68
2.917792;2.9100037;0.0;42.32;37.67
2.92778;3.0399933;0.0;42.33;37.66
2.937756;3.1600037;0.0;42.3;37.69
2.948148;3.2599945;0.0;42.3;37.69
2.957764;3.350006;0.0;42.3;37.69
2.96774;3.4199982;0.0;42.24;37.75
2.977772;3.4799957;0.0;42.18;37.81
2.987768;3.5200043;0.0;42.16;37.83
2.99776;3.550003;0.0;42.08;37.91
3.007768;3.5700073;0.0;42.05;37.94
3.01772;3.5700073;0.0;41.98;38.01
3.02774;3.5599976;0.0;41.92;38.07
3.037712;3.5399933;0.0;41.82;38.17
3.047708;3.5;0.0;41.75;38.24
3.057692;3.449997;0.0;41.62;38.37
3.067692;3.3899994;0.0;41.56;38.43
3.077688;3.3099976;0.0;41.45;38.54
3.087696;3.2299957;0.0;41.34;38.65
3.09766;3.130005;0.0;41.21;38.78
3.10766;3.0;0.0;41.04;38.95
3.117644;2.8600006;0.0;40.87;39.12
3.127656;2.6900024;0.0;40.58;39.41
3.137656;2.4600067;0.0;40.22;39.77
3.147632;2.1600037;0.0;39.71;40.28
3.157624;1.800003;0.0;39.18;40.81
3.167636;1.3699951;0.0;38.57;41.42
3.177616;0.83000183;0.0;37.78;42.21
3.187588;0.19999695;0.0;36.93;43.06
3.197592;-0.5200043;0.0;36.11;43.88
3.207596;-1.3200073;0.0;35.31;44.68
3.217568;-2.1799927;0.0;34.48;45.51
3.22756;-3.100006;0.0;33.7;46.29
3.237532;-4.0599976;0.0;32.93;47.06
3.247556;-5.050003;0.0;32.26;47.73
3.257548;-6.050003;0.0;31.69;48.3
3.267536;-7.0399933;0.0;31.16;48.83
3.277544;-8.0099945;0.0;30.72;49.27
3.28754;-8.949997;0.0;30.41;49.58
3.297532;-9.839996;0.0;30.1;49.89
3.307508;-10.679993;0.0;29.93;50.06
3.31752;-11.460007;0.0;29.8;50.19
3.327512;-12.190002;0.0;29.62;50.37
3.337496;-12.880005;0.0;29.48;50.51
3.347468;-13.529999;0.0;29.32;50.67
3.3575;-14.139999;0.0;29.17;50.82
3.36748;-14.720001;0.0;29.0;50.99
3.377464;-15.2400055;0.0;28.99;51.0
3.387456;-15.690002;0.0;29.11;50.88
3.39746;-16.089996;0.0;29.14;50.85
3.40744;-16.449997;0.0;29.17;50.82
3.417424;-16.729996;0.0;29.37;50.62
3.42742;-16.949997;0.0;29.59;50.4
3.437404;-17.119995;0.0;29.71;50.28
3.447392;-17.240005;0.0;29.93;50.06
3.457396;-17.309998;0.0;30.14;49.85
3.467384;-17.300003;0.0;30.49;49.5
3.477368;-17.240005;0.0;30.84;49.15
3.487352;-17.11;0.0;31.22;48.77
3.497372;-16.919998;0.0;31.66;48.33
3.507344;-16.660004;0.0;32.13;47.86
3.517348;-16.350006;0.0;32.53;47.46
3.527332;-15.9900055;0.0;33.04;46.95
3.537328;-15.559998;0.0;33.57;46.42
3.547328;-15.089996;0.0;34.05;45.94
3.557316;-14.580002;0.0;34.56;45.43
3.567312;-14.020004;0.0;35.06;44.93
3.577312;-13.410004;0.0;35.68;44.31
3.5873;-12.729996;0.0;36.37;43.62
3.597304;-12.020004;0.0;36.96;43.03
3.607292;-11.270004;0.0;37.56;42.43
3.6173;-10.479996;0.0;38.17;41.82
