t (s);roll (deg);cons (deg);TL (%);TR (%)
0.94928;-0.75;0.0;33.78;46.21
0.954268;-0.75;0.0;40.65;39.34
0.959644;-0.75;0.0;40.65;39.34
0.964264;-0.75;0.0;40.57;39.42
0.969256;-0.75;0.0;40.64;39.35
0.97424;-0.75;0.0;40.63;39.36
0.979264;-0.75;0.0;40.76;39.23
0.98426;-0.75;0.0;40.63;39.36
0.989248;-0.75;0.0;40.56;39.43
0.994228;-0.75;0.0;40.62;39.37
0.999208;-0.75;0.0;40.74;39.25
1.004604;-0.75;0.0;40.56;39.43
1.009196;-0.75;0.0;40.54;39.45
1.014232;-0.75;0.0;40.61;39.38
1.019204;-0.7599945;0.0;40.34;39.65
1.024204;-0.7599945;0.0;40.61;39.38
1.029192;-0.7700043;0.0;40.33;39.66
1.034212;-0.7700043;0.0;40.59;39.4
1.039192;-0.7799988;0.0;40.32;39.67
1.044164;-0.7799988;0.0;40.38;39.61
1.049176;-0.7899933;0.0;40.3;39.69
1.05416;-0.80000305;0.0;40.42;39.57
1.059156;-0.80999756;0.0;40.29;39.7
1.064144;-0.80999756;0.0;40.48;39.51
1.069164;-0.8200073;0.0;40.08;39.91
1.074172;-0.83000183;0.0;40.33;39.66
1.079164;-0.83999634;0.0;40.26;39.73
1.08414;-0.8500061;0.0;40.31;39.68
1.089136;-0.8600006;0.0;40.04;39.95
1.094148;-0.8699951;0.0;40.3;39.69
1.09914;-0.8899994;0.0;39.96;40.03
1.104148;-0.8999939;0.0;40.08;39.91
1.109132;-0.91000366;0.0;40.14;39.85
1.114132;-0.9299927;0.0;39.99;40.0
1.119132;-0.94000244;0.0;39.98;40.01
1.124128;-0.9600067;0.0;39.98;40.01
1.129116;-0.9700012;0.0;40.09;39.9
1.134128;-0.9900055;0.0;39.89;40.1
1.139116;-1.0099945;0.0;39.88;40.11
1.144124;-1.0200043;0.0;39.87;40.12
1.149124;-1.0399933;0.0;39.92;40.07
1.154116;-1.0599976;0.0;39.85;40.14
1.15912;-1.0800018;0.0;39.63;40.36
1.164104;-1.1000061;0.0;39.68;40.31
1.169104;-1.1199951;0.0;39.8;40.19
1.17408;-1.1399994;0.0;39.71;40.28
