t (s);roll (deg);TL (%);TR (%)
159133808;1.8999939;40.67;39.32
159143804;1.8699951;40.71;39.28
159153796;1.8300018;40.65;39.34
159163808;1.800003;40.65;39.34
159173784;1.7599945;40.62;39.37
159183780;1.7200012;40.58;39.41
159193748;1.6799927;40.6;39.39
159203748;1.6300049;40.53;39.46
159213760;1.6000061;40.58;39.41
159223748;1.5599976;40.52;39.47
159233744;1.5299988;40.55;39.44
159243740;1.4900055;40.5;39.49
159253724;1.449997;40.48;39.51
159263724;1.4100037;40.48;39.51
159274100;1.3800049;40.48;39.51
159283704;1.3500061;40.45;39.54
159293680;1.3200073;40.46;39.53
159303688;1.2899933;40.44;39.55
159313668;1.2599945;40.45;39.54
159323664;1.2400055;40.45;39.54
159333660;1.2200012;40.45;39.54
159343656;1.199997;40.46;39.53
159353640;1.1900024;40.46;39.53
159363656;1.1799927;40.47;39.52
159373636;1.1799927;40.48;39.51
159383628;1.1799927;40.5;39.49
159393620;1.1900024;40.54;39.45
159403620;1.199997;40.54;39.45
159413624;1.2200012;40.58;39.41
159423612;1.2299957;40.57;39.42
159433592;1.25;40.58;39.41
159443588;1.2700043;40.62;39.37
159453588;1.300003;40.63;39.36
159463560;1.3200073;40.64;39.35
159473560;1.3500061;40.67;39.32
159483556;1.3800049;40.7;39.29
159493552;1.4199982;40.72;39.27
159503536;1.4600067;40.74;39.25
159513528;1.5;40.77;39.22
159523512;1.5299988;40.76;39.23
159533508;1.5800018;40.82;39.17
159543492;1.6100006;40.8;39.19
159553492;1.6499939;40.84;39.15
159563472;1.699997;40.87;39.12
159573504;1.7400055;40.89;39.1
159583456;1.7799988;40.88;39.11
159593460;1.8200073;40.91;39.08
159603464;1.8600006;40.93;39.06
159613480;1.8999939;40.93;39.06
159623452;1.9400024;40.98;39.01
159633456;1.9799957;40.96;39.03
159643432;2.0099945;40.98;39.01
159653412;2.0599976;41.01;38.98
159663788;2.0800018;40.97;39.02
159673384;2.1100006;41.01;38.98
159683396;2.1399994;41.01;38.98
159693384;2.1799927;41.04;38.95
159703368;2.1900024;40.98;39.01
159713364;2.2100067;41.0;38.99
159723364;2.2200012;40.98;39.01
159733360;2.2299957;40.99;39.0
159743344;2.2400055;41.0;38.99
159753324;2.2400055;40.94;39.05
159763324;2.25;40.98;39.01
159773328;2.2400055;40.92;39.07
159783320;2.2400055;40.97;39.02
159793304;2.2400055;40.95;39.04
159803308;2.2400055;40.95;39.04
159813284;2.2299957;40.93;39.06
159823292;2.2299957;40.92;39.07
159833284;2.2200012;40.91;39.08
159843268;2.199997;40.9;39.09
159853256;2.1900024;40.89;39.1
159863268;2.1799927;40.88;39.11
159873236;2.1600037;40.88;39.11
159883236;2.1399994;40.82;39.17
159893220;2.119995;40.84;39.15
159903212;2.100006;40.82;39.17
159913208;2.0800018;40.82;39.17
159923208;2.0599976;40.8;39.19
159933600;2.0399933;40.82;39.17
