t (s);roll (deg);TL (%);TR (%)
203609228;1.5099945;37.86;42.13
203619624;1.5099945;40.66;39.33
203629236;1.5099945;40.65;39.34
203639224;1.5099945;40.63;39.36
203649196;1.5099945;40.65;39.34
203659184;1.5099945;40.64;39.35
203669152;1.5099945;40.64;39.35
203679164;1.4900055;40.6;39.39
203689164;1.4799957;40.59;39.4
203699160;1.4600067;40.56;39.43
203709140;1.4299927;40.49;39.5
203719116;1.3699951;40.4;39.59
203729120;1.2799988;40.25;39.74
203739112;1.1699982;40.13;39.86
203749100;1.050003;40.05;39.94
203759092;0.91999817;39.96;40.03
203769092;0.7599945;39.79;40.2
203779068;0.58999634;39.69;40.3
203789092;0.3999939;39.54;40.45
203799088;0.19999695;39.4;40.59
203809076;-0.009994507;39.27;40.72
203819056;-0.2400055;39.13;40.86
203829048;-0.47999573;39.0;40.99
203839060;-0.7200012;38.88;41.11
203849044;-0.9700012;38.76;41.23
203859008;-1.2100067;38.65;41.34
203869012;-1.4600067;38.53;41.46
203878996;-1.7299957;38.37;41.62
203889000;-1.9900055;38.28;41.71
203898992;-2.25;38.15;41.84
203908968;-2.5099945;38.06;41.93
203918964;-2.7799988;37.88;42.11
203928964;-3.050003;37.8;42.19
203938944;-3.3200073;37.68;42.31
203948964;-3.5800018;37.58;42.41
203959348;-3.8300018;37.54;42.45
203968928;-4.0899963;37.37;42.62
203978912;-4.3200073;37.36;42.63
203988904;-4.5599976;37.24;42.75
203998916;-4.779999;37.19;42.8
204008908;-5.0;37.12;42.87
204019300;-5.2100067;37.07;42.92
204028880;-5.4100037;37.01;42.98
204038864;-5.5899963;36.99;43.0
204048860;-5.7599945;36.95;43.04
204058872;-5.9299927;36.89;43.1
204068852;-6.0700073;36.89;43.1
204078848;-6.199997;36.89;43.1
204088848;-6.3200073;36.88;43.11
204098820;-6.4299927;36.89;43.1
204108808;-6.5200043;36.89;43.1
204118792;-6.5899963;36.91;43.08
204128808;-6.6600037;36.93;43.06
204138804;-6.699997;36.96;43.03
204148792;-6.7400055;36.98;43.01
204158776;-6.75;37.04;42.95
204168776;-6.7700043;37.03;42.96
204178752;-6.7599945;37.12;42.87
204188764;-6.7400055;37.18;42.81
204198768;-6.699997;37.25;42.74
204208748;-6.649994;37.3;42.69
204218740;-6.5899963;37.38;42.61
204228732;-6.5099945;37.46;42.53
204238720;-6.419998;37.53;42.46
204248700;-6.300003;37.67;42.32
204258696;-6.1900024;37.72;42.27
204268684;-6.0599976;37.83;42.16
204278692;-5.9100037;37.95;42.04
204288668;-5.7400055;38.08;41.91
204298668;-5.580002;38.15;41.84
204308660;-5.3899994;38.29;41.7
204318648;-5.199997;38.41;41.58
204328656;-5.0;38.51;41.48
204338656;-4.7899933;38.63;41.36
204348636;-4.5599976;38.8;41.19
204358616;-4.330002;38.9;41.09
204368624;-4.100006;39.01;40.98
204378628;-3.850006;39.18;40.81
204388608;-3.5899963;39.33;40.66
204398600;-3.3099976;39.5;40.49
204408592;-3.0299988;39.6;40.39
204418608;-2.7599945;39.74;40.25
204428560;-2.4700012;39.88;40.11
204438552;-2.1799927;40.03;39.96
204448576;-1.8899994;40.14;39.85
204458560;-1.6000061;40.3;39.69
204468556;-1.300003;40.44;39.55
204478556;-1.0;40.56;39.43
204488564;-0.7100067;40.67;39.32
204498560;-0.41000366;40.82;39.17
204508520;-0.11999512;40.91;39.08
204518516;0.17999268;41.07;38.92
204528528;0.4600067;41.14;38.85
204538528;0.7400055;41.25;38.74
204548516;1.0200043;41.37;38.62
204558488;1.300003;41.49;38.5
204568456;1.5700073;41.56;38.43
204578464;1.8300018;41.67;38.32
204588468;2.0800018;41.73;38.26
204598440;2.3399963;41.85;38.14
204608436;2.5800018;41.93;38.06
204618424;2.8200073;41.98;38.01
204628428;3.0399933;42.05;37.94
204638412;3.2700043;42.16;37.83
204648404;3.4799957;42.19;37.8
204658412;3.6900024;42.28;37.71
204668408;3.880005;42.32;37.67
204678372;4.0599976;42.34;37.65
204688364;4.2299957;42.4;37.59
204698360;4.380005;42.38;37.61
204708368;4.529999;42.42;37.57
204718348;4.669998;42.47;37.52
204728348;4.7899933;42.47;37.52
204738336;4.9100037;42.5;37.49
204748320;5.0;42.46;37.53
204758300;5.080002;42.45;37.54
204768312;5.149994;42.44;37.55
204778308;5.2100067;42.44;37.55
204788292;5.25;42.4;37.59
204798296;5.279999;42.36;37.63
204808276;5.300003;42.34;37.65
204818284;5.300003;42.29;37.7
204828268;5.2899933;42.24;37.75
204838236;5.279999;42.23;37.76
204848240;5.2400055;42.12;37.87
204858624;5.199997;42.11;37.88
204868228;5.1399994;42.0;37.99
204878220;5.0700073;41.93;38.06
204888604;4.9799957;41.86;38.13
204898184;4.880005;41.76;38.23
204908596;4.779999;41.71;38.28
204918192;4.6600037;41.58;38.41
204928184;4.529999;41.53;38.46
204938188;4.3899994;41.41;38.58
204948180;4.2400055;41.32;38.67
204958172;4.0899963;41.24;38.75
204968160;3.9299927;41.15;38.84
204978148;3.75;41.02;38.97
204988128;3.5700073;40.95;39.04
204998136;3.3899994;40.82;39.17
205008124;3.199997;40.74;39.25
205018116;3.0;40.63;39.36
205028108;2.800003;40.55;39.44
205038100;2.600006;40.44;39.55
205048080;2.4100037;40.38;39.61
205058072;2.199997;40.26;39.73
205068060;2.0;40.2;39.79
205078060;1.800003;40.1;39.89
205088076;1.6000061;40.01;39.98
205098044;1.3999939;39.95;40.04
205108048;1.2100067;39.86;40.13
205118052;1.0200043;39.8;40.19
205128020;0.83000183;39.72;40.27
205138028;0.6399994;39.66;40.33
205148024;0.47999573;39.65;40.34
205158004;0.30999756;39.55;40.44
205167984;0.1499939;39.54;40.45
205177968;-0.009994507;39.48;40.51
205187984;-0.1499939;39.44;40.55
205197976;-0.30000305;39.39;40.6
205207988;-0.42999268;39.36;40.63
205217984;-0.55000305;39.36;40.63
205227976;-0.6799927;39.29;40.7
205237972;-0.7899933;39.29;40.7
205247932;-0.8999939;39.25;40.74
205257940;-1.0;39.22;40.77
205267924;-1.0899963;39.22;40.77
205277912;-1.1900024;39.19;40.8
205287912;-1.2599945;39.2;40.79
205297924;-1.3300018;39.19;40.8
205307896;-1.3999939;39.18;40.81
205317912;-1.449997;39.19;40.8
