t (s);roll (deg);TL (%);TR (%)
280837572;0.5200043;50.87;29.12
280847564;0.5200043;40.23;39.76
280857568;0.5200043;40.21;39.78
280867540;0.5200043;40.21;39.78
280877556;0.5200043;40.19;39.8
280887524;0.5200043;40.22;39.77
280897500;0.5200043;40.19;39.8
280907496;0.5200043;40.19;39.8
280917540;0.5200043;40.2;39.79
280927496;0.5099945;40.17;39.82
280937500;0.5;40.18;39.81
280947492;0.4900055;40.16;39.83
280957476;0.4900055;40.17;39.82
280967460;0.47999573;40.16;39.83
280977444;0.4600067;40.13;39.86
280987440;0.44999695;40.15;39.84
280997428;0.44999695;40.17;39.82
281007412;0.42999268;40.11;39.88
281017400;0.41000366;40.1;39.89
281027388;0.3999939;40.11;39.88
281037408;0.38000488;40.1;39.89
281047400;0.3600006;40.08;39.91
281057392;0.33999634;40.06;39.93
281067368;0.32000732;40.05;39.94
281077380;0.2899933;40.03;39.96
281087356;0.27000427;40.03;39.96
281097380;0.2400055;40.0;39.99
281107356;0.22000122;40.0;39.99
281117336;0.17999268;39.96;40.03
281127332;0.16000366;40.0;39.99
281137332;0.11999512;39.91;40.08
281147316;0.1000061;39.97;40.02
281157324;0.070007324;39.92;40.07
281167320;0.039993286;39.9;40.09
281177308;0.009994507;39.91;40.08
281187292;-0.02999878;39.85;40.14
281197280;-0.05999756;39.87;40.12
281207280;-0.1000061;39.85;40.14
281217272;-0.13000488;39.82;40.17
281227252;-0.17999268;39.78;40.21
281237236;-0.21000671;39.8;40.19
281247232;-0.25;39.75;40.24
281257220;-0.30000305;39.73;40.26
281267212;-0.33999634;39.71;40.28
281277196;-0.38000488;39.71;40.28
281287200;-0.42999268;39.68;40.31
281297188;-0.47999573;39.62;40.37
281307192;-0.5299988;39.64;40.35
281317188;-0.58000183;39.6;40.39
281327176;-0.6199951;39.6;40.39
281337172;-0.66999817;39.57;40.42
281347172;-0.7100067;39.55;40.44
281357172;-0.7599945;39.53;40.46
281367164;-0.80999756;39.52;40.47
281377140;-0.8500061;39.53;40.46
281387116;-0.8999939;39.47;40.52
281397132;-0.9299927;39.5;40.49
281407116;-0.9700012;39.48;40.51
281417108;-1.0200043;39.43;40.56
281427084;-1.0599976;39.45;40.54
281437068;-1.1000061;39.42;40.57
281447072;-1.1300049;39.43;40.56
281457072;-1.1699982;39.4;40.59
281467064;-1.2100067;39.38;40.61
281477048;-1.2599945;39.35;40.64
281487040;-1.2899933;39.37;40.62
281497020;-1.3300018;39.33;40.66
281507028;-1.3600006;39.36;40.63
281517040;-1.3899994;39.32;40.67
281527032;-1.4199982;39.35;40.64
281537028;-1.4400024;39.35;40.64
281547016;-1.4700012;39.32;40.67
281557004;-1.4799957;39.37;40.62
281566972;-1.4799957;39.38;40.61
281576996;-1.4799957;39.4;40.59
281587004;-1.4799957;39.41;40.58
281596960;-1.4799957;39.42;40.57
281606968;-1.4600067;39.48;40.51
281616952;-1.4400024;39.47;40.52
281626952;-1.4299927;39.49;40.5
281637340;-1.3999939;39.53;40.46
281646928;-1.3699951;39.56;40.43
281656936;-1.3300018;39.58;40.41
281666912;-1.2899933;39.62;40.37
281677300;-1.25;39.64;40.35
281686916;-1.199997;39.69;40.3
281696916;-1.1399994;39.72;40.27
281706888;-1.0899963;39.74;40.25
281716872;-1.0299988;39.81;40.18
281726868;-0.9600067;39.82;40.17
281736848;-0.8899994;39.88;40.11
281746852;-0.8200073;39.92;40.07
281756844;-0.7299957;39.99;40.0
281766840;-0.6499939;40.0;39.99
281776820;-0.5700073;40.04;39.95
281786824;-0.47999573;40.1;39.89
281796812;-0.3899994;40.14;39.85
281806792;-0.30000305;40.19;39.8
281816796;-0.19999695;40.25;39.74
281826788;-0.11000061;40.27;39.72
281836788;0.0;40.35;39.64
281846780;0.11000061;40.4;39.59
281857144;0.21000671;40.4;39.59
281866768;0.30999756;40.48;39.51
281876748;0.41999817;40.52;39.47
281886752;0.5299988;40.57;39.42
