t (s);roll (deg);TL (%);TR (%)
44582780;-2.4700012;30.63;49.36
44592764;-2.4700012;38.93;41.06
44602768;-2.4700012;38.93;41.06
44612760;-2.4700012;38.93;41.06
44622768;-2.4700012;38.95;41.04
44632728;-2.4700012;38.93;41.06
44642736;-2.4600067;38.95;41.04
44652712;-2.4600067;38.95;41.04
44662696;-2.4600067;38.93;41.06
44672696;-2.449997;38.95;41.04
44682688;-2.4600067;38.91;41.08
44693068;-2.4600067;38.91;41.08
44702664;-2.4700012;38.91;41.08
44712664;-2.4799957;38.89;41.1
44723048;-2.4900055;38.89;41.1
44732644;-2.5;38.88;41.11
44742612;-2.5099945;38.88;41.11
44752632;-2.5299988;38.85;41.14
44762636;-2.5399933;38.83;41.16
44772612;-2.5700073;38.8;41.19
44783004;-2.5899963;38.79;41.2
44792588;-2.6100006;38.79;41.2
44802596;-2.6399994;38.77;41.22
44812604;-2.6699982;38.75;41.24
44822564;-2.699997;38.71;41.28
44832552;-2.7400055;38.7;41.29
44842548;-2.7700043;38.7;41.29
44852544;-2.7899933;38.71;41.28
44862540;-2.8200073;38.66;41.33
44872532;-2.850006;38.66;41.33
44882536;-2.880005;38.65;41.34
44892520;-2.9199982;38.62;41.37
44902916;-2.9400024;38.64;41.35
44912520;-2.9700012;38.63;41.36
44922504;-2.9900055;38.64;41.35
44932492;-3.0099945;38.63;41.36
44942488;-3.0200043;38.64;41.35
44952464;-3.0399933;38.63;41.36
44962476;-3.050003;38.64;41.35
44972456;-3.0599976;38.64;41.35
44982436;-3.0599976;38.65;41.34
44992452;-3.0700073;38.67;41.32
45002448;-3.0700073;38.65;41.34
45012436;-3.0700073;38.68;41.31
45022436;-3.0700073;38.67;41.32
45032428;-3.0599976;38.69;41.3
45042424;-3.050003;38.7;41.29
45052412;-3.0399933;38.71;41.28
45062380;-3.0399933;38.71;41.28
45072412;-3.0299988;38.72;41.27
45082376;-3.0099945;38.76;41.23
45092388;-2.9900055;38.75;41.24
45102364;-2.9700012;38.77;41.22
45112348;-2.949997;38.79;41.2
45122344;-2.9299927;38.81;41.18
45132348;-2.9100037;38.8;41.19
45142344;-2.880005;38.86;41.13
45152708;-2.850006;38.86;41.13
45162308;-2.8099976;38.91;41.08
45172316;-2.7700043;38.93;41.06
45182300;-2.7299957;38.96;41.03
45192300;-2.6799927;39.0;40.99
45202288;-2.619995;39.05;40.94
45212268;-2.5700073;39.07;40.92
45222252;-2.5;39.12;40.87
45232244;-2.4400024;39.15;40.84
45242240;-2.3600006;39.22;40.77
45252228;-2.2899933;39.25;40.74
45262236;-2.2100067;39.31;40.68
45272224;-2.1399994;39.32;40.67
45282220;-2.050003;39.41;40.58
45292200;-1.9700012;39.41;40.58
45302196;-1.8699951;39.52;40.47
45312164;-1.7799988;39.54;40.45
45322168;-1.6799927;39.6;40.39
45332144;-1.5800018;39.65;40.34
45342152;-1.4799957;39.69;40.3
45352168;-1.3800049;39.73;40.26
45362156;-1.2799988;39.77;40.22
45372152;-1.1699982;39.83;40.16
45382148;-1.0800018;39.86;40.13
45392136;-0.9799957;39.89;40.1
45402132;-0.8800049;39.96;40.03
45412136;-0.7700043;40.01;39.98
45422128;-0.66999817;40.03;39.96
45432120;-0.58000183;40.06;39.93
45442096;-0.4900055;40.09;39.9
45452096;-0.3999939;40.11;39.88
45462472;-0.30999756;40.16;39.83
45472064;-0.22000122;40.23;39.76
45482072;-0.11999512;40.25;39.74
45492068;-0.02999878;40.29;39.7
45502072;0.05000305;40.31;39.68
45512040;0.13999939;40.34;39.65
45522032;0.22000122;40.37;39.62
45532020;0.30999756;40.4;39.59
45542008;0.3899994;40.44;39.55
45552024;0.4600067;40.46;39.53
45562016;0.5299988;40.46;39.53
45571996;0.6000061;40.47;39.52
45582000;0.66000366;40.47;39.52
45591988;0.7200012;40.51;39.48
45601972;0.7700043;40.52;39.47
45611968;0.83999634;40.57;39.42
45621980;0.8899994;40.56;39.43
45631980;0.94000244;40.57;39.42
45641952;0.9799957;40.55;39.44
45651952;1.0099945;40.56;39.43
45661948;1.0599976;40.6;39.39
45671940;1.0899963;40.56;39.43
45681916;1.1199951;40.61;39.38
45691920;1.1499939;40.58;39.41
45701904;1.1600037;40.54;39.45
45711904;1.1799927;40.56;39.43
45721892;1.1799927;40.51;39.48
45731888;1.1900024;40.55;39.44
45741868;1.1900024;40.51;39.48
45751888;1.1900024;40.51;39.48
45761872;1.1799927;40.49;39.5
45771852;1.1699982;40.47;39.52
45781844;1.1600037;40.45;39.54
45791844;1.1300049;40.39;39.6
45801836;1.0899963;40.35;39.64
45811812;1.0700073;40.38;39.61
45821808;1.0299988;40.31;39.68
45831808;1.0;40.32;39.67
45841788;0.94999695;40.28;39.71
45851784;0.91000366;40.24;39.75
45861760;0.8600006;40.19;39.8
45871772;0.80999756;40.18;39.81
45881764;0.7599945;40.16;39.83
45891736;0.7100067;40.14;39.85
45901732;0.66000366;40.12;39.87
45911736;0.6000061;40.08;39.91
45921728;0.55000305;40.06;39.93
45931716;0.5;40.05;39.94
45941708;0.44999695;40.01;39.98
45951692;0.3999939;40.02;39.97
45961680;0.3500061;39.96;40.03
45971676;0.30000305;39.96;40.03
45981664;0.25;39.94;40.05
45991656;0.19000244;39.88;40.11
46001660;0.13999939;39.89;40.1
46011652;0.08000183;39.83;40.16
46021644;0.02999878;39.84;40.15
46031640;-0.020004272;39.84;40.15
46042028;-0.05999756;39.83;40.16
46051624;-0.11000061;39.79;40.2
46061608;-0.1499939;39.78;40.21
46071584;-0.19999695;39.76;40.23
46081612;-0.2400055;39.74;40.25
46091588;-0.2899933;39.72;40.27
46101576;-0.33000183;39.7;40.29
46111588;-0.36999512;39.7;40.29
46121592;-0.41000366;39.71;40.28
46131552;-0.44000244;39.7;40.29
46141552;-0.47000122;39.68;40.31
46151560;-0.5;39.7;40.29
46161568;-0.5099945;39.72;40.27
46171552;-0.5399933;39.68;40.31
46181532;-0.55000305;39.71;40.28
46191512;-0.55999756;39.73;40.26
46201516;-0.55999756;39.76;40.23
46211520;-0.55999756;39.77;40.22
46221512;-0.55000305;39.77;40.22
46231540;-0.5399933;39.79;40.2
46241516;-0.5399933;39.78;40.21
46251508;-0.5200043;39.82;40.17
46261488;-0.5;39.84;40.15
46271484;-0.47999573;39.86;40.13
46281464;-0.44999695;39.9;40.09
46291444;-0.41999817;39.93;40.06
46301440;-0.3899994;39.92;40.07
46311436;-0.3500061;39.98;40.01
46321420;-0.30999756;39.99;40.0
46331416;-0.27000427;40.03;39.96
46341404;-0.22999573;40.03;39.96
46351400;-0.19000244;40.05;39.94
46361380;-0.13999939;40.1;39.89
46371392;-0.1000061;40.1;39.89
46381380;-0.05999756;40.12;39.87
46391332;-0.009994507;40.16;39.83
46401384;0.039993286;40.15;39.84
46411348;0.08999634;40.24;39.75
46421328;0.1499939;40.24;39.75
46431316;0.19999695;40.24;39.75
46441332;0.2400055;40.26;39.73
