t (s);roll (deg);TL (%);TR (%)
115048060;1.4199982;40.25;39.74
115058028;1.4199982;40.6;39.39
115068024;1.4199982;40.6;39.39
115078032;1.4199982;40.6;39.39
115088028;1.4199982;40.59;39.4
115098036;1.4199982;40.6;39.39
115107992;1.4199982;40.59;39.4
115118000;1.4199982;40.59;39.4
115127972;1.4100037;40.58;39.41
115137984;1.3999939;40.54;39.45
115147956;1.3699951;40.5;39.49
115157972;1.3300018;40.4;39.59
115167948;1.25;40.25;39.74
115178336;1.1399994;40.16;39.83
115187920;1.0299988;40.03;39.96
115197928;0.8899994;39.93;40.06
115207900;0.7400055;39.81;40.18
115217928;0.58000183;39.69;40.3
115227908;0.3899994;39.53;40.46
115237896;0.19000244;39.42;40.57
115247892;-0.02999878;39.26;40.73
115257880;-0.25;39.13;40.86
115267884;-0.4900055;39.01;40.98
115278272;-0.7299957;38.91;41.08
115287856;-0.9799957;38.72;41.27
115297864;-1.2299957;38.62;41.37
115307848;-1.4799957;38.53;41.46
115317812;-1.7400055;38.41;41.58
115327832;-2.0;38.29;41.7
115337832;-2.2700043;38.12;41.87
115347796;-2.5299988;38.07;41.92
115357780;-2.7899933;37.94;42.05
115367792;-3.050003;37.83;42.16
115377768;-3.3200073;37.7;42.29
115387788;-3.5800018;37.59;42.4
115397772;-3.8399963;37.53;42.46
115407752;-4.0899963;37.43;42.56
115417752;-4.330002;37.37;42.62
115427740;-4.5599976;37.27;42.72
115437716;-4.779999;37.25;42.74
115447732;-5.0;37.15;42.84
115457708;-5.2100067;37.11;42.88
115467696;-5.399994;37.07;42.92
115477688;-5.580002;37.01;42.98
115487684;-5.75;37.02;42.97
115497676;-5.9100037;36.95;43.04
115507676;-6.050003;36.98;43.01
115517668;-6.1799927;36.94;43.05
115527672;-6.2899933;36.95;43.04
115537652;-6.399994;36.93;43.06
115547628;-6.4900055;36.94;43.05
115557636;-6.5599976;36.98;43.01
115567648;-6.619995;37.01;42.98
115577632;-6.6600037;37.02;42.97
115588004;-6.699997;37.04;42.95
115597620;-6.720001;37.08;42.91
115607580;-6.7299957;37.13;42.86
115617592;-6.720001;37.19;42.8
115627596;-6.699997;37.22;42.77
115637592;-6.6600037;37.3;42.69
115647572;-6.619995;37.35;42.64
115657568;-6.550003;37.43;42.56
115667564;-6.4799957;37.48;42.51
115677936;-6.399994;37.56;42.43
115687532;-6.300003;37.67;42.32
115697520;-6.1900024;37.74;42.25
115707516;-6.0700073;37.83;42.16
115717516;-5.9400024;37.93;42.06
115727496;-5.7899933;38.03;41.96
115737484;-5.6399994;38.11;41.88
115747480;-5.470001;38.26;41.73
115757480;-5.2899933;38.36;41.63
115767480;-5.100006;38.47;41.52
115777464;-4.899994;38.58;41.41
115787456;-4.699997;38.69;41.3
115797456;-4.4900055;38.8;41.19
115807448;-4.2700043;38.92;41.07
115817452;-4.029999;39.09;40.9
115827456;-3.7899933;39.2;40.79
115837432;-3.5399933;39.34;40.65
115847412;-3.2899933;39.44;40.55
115857404;-3.0299988;39.58;40.41
115867396;-2.7700043;39.69;40.3
115877388;-2.5;39.83;40.16
115887404;-2.2400055;39.92;40.07
115897380;-1.9900055;40.0;39.99
115907768;-1.7200012;40.13;39.86
115917388;-1.4400024;40.34;39.65
115927376;-1.1799927;40.39;39.6
115937372;-0.8999939;40.53;39.46
115947368;-0.6399994;40.6;39.39
115957348;-0.36999512;40.74;39.25
115967336;-0.11000061;40.83;39.16
115977328;0.1499939;40.91;39.08
115987320;0.3999939;41.01;38.98
115997312;0.6499939;41.12;38.87
116007320;0.8999939;41.22;38.77
116017300;1.1499939;41.31;38.68
116027288;1.3800049;41.36;38.63
116037280;1.6100006;41.42;38.57
116047276;1.8300018;41.54;38.45
116057252;2.0599976;41.61;38.38
116067260;2.2799988;41.71;38.28
116077248;2.4799957;41.72;38.27
116087244;2.6699982;41.77;38.22
116097236;2.869995;41.86;38.13
116107236;3.050003;41.89;38.1
116117200;3.2299957;41.95;38.04
116127204;3.3899994;41.99;38.0
116137196;3.550003;42.01;37.98
116147196;3.6799927;42.0;37.99
116157204;3.8099976;42.03;37.96
116167192;3.9299927;42.08;37.91
116177176;4.0399933;42.07;37.92
116187156;4.130005;42.06;37.93
116197148;4.220001;42.06;37.93
116207156;4.279999;42.04;37.95
116217144;4.330002;42.0;37.99
116227144;4.380005;41.99;38.0
116237524;4.4100037;41.98;38.01
116247128;4.4299927;41.95;38.04
116257096;4.4400024;41.89;38.1
116267084;4.4400024;41.87;38.12
116277100;4.419998;41.82;38.17
116287096;4.3899994;41.74;38.25
116297068;4.3600006;41.74;38.25
116307080;4.3099976;41.66;38.33
116317060;4.25;41.62;38.37
116327052;4.1799927;41.54;38.45
116337044;4.1100006;41.48;38.51
116347036;4.029999;41.42;38.57
116357032;3.9299927;41.34;38.65
116367008;3.8200073;41.25;38.74
116377008;3.7100067;41.2;38.79
116386992;3.600006;41.14;38.85
116396972;3.4600067;41.0;38.99
116406972;3.3300018;40.98;39.01
116416984;3.1900024;40.87;39.12
116426952;3.0399933;40.79;39.2
116436952;2.880005;40.7;39.29
116446952;2.7299957;40.64;39.35
116456936;2.5700073;40.55;39.44
116466944;2.399994;40.46;39.53
116476916;2.2400055;40.39;39.6
116486912;2.0599976;40.27;39.72
116496924;1.8800049;40.2;39.79
116506884;1.699997;40.12;39.87
116516896;1.5299988;40.07;39.92
116526892;1.3500061;39.97;40.02
116536884;1.1600037;39.86;40.13
116546900;0.9799957;39.8;40.19
116556868;0.7799988;39.66;40.33
116566860;0.58000183;39.6;40.39
116576852;0.3899994;39.53;40.46
116586824;0.21000671;39.47;40.52
116596856;0.02999878;39.41;40.58
116606832;-0.16000366;39.3;40.69
116616824;-0.3500061;39.22;40.77
116626844;-0.5299988;39.16;40.83
116636804;-0.7100067;39.09;40.9
116646804;-0.8800049;39.05;40.94
116656800;-1.0599976;38.97;41.02
116666792;-1.2200012;38.93;41.06
116676780;-1.3899994;38.85;41.14
116686768;-1.5599976;38.77;41.22
116696744;-1.7100067;38.77;41.22
116706756;-1.8600006;38.71;41.28
116716756;-2.0;38.67;41.32
116727144;-2.1399994;38.66;41.33
116736728;-2.2700043;38.57;41.42
116746724;-2.3899994;38.59;41.4
116756692;-2.5099945;38.53;41.46
116766696;-2.619995;38.52;41.47
116776692;-2.7299957;38.48;41.51
116786688;-2.8300018;38.46;41.53
116796660;-2.9299927;38.42;41.57
116806680;-3.0200043;38.42;41.57
116816680;-3.1100006;38.38;41.61
116826664;-3.1900024;38.38;41.61
116836656;-3.2599945;38.38;41.61
116846628;-3.3300018;38.37;41.62
116856632;-3.380005;38.38;41.61
116866628;-3.4400024;38.35;41.64
116876612;-3.4900055;38.33;41.66
116886612;-3.5399933;38.34;41.65
116896612;-3.5700073;38.38;41.61
116906612;-3.5899963;38.41;41.58
116916620;-3.600006;38.44;41.55
116927000;-3.600006;38.47;41.52
116936584;-3.5899963;38.53;41.46
116946568;-3.5700073;38.55;41.44
116956544;-3.5299988;38.63;41.36
116966532;-3.4900055;38.65;41.34
116976536;-3.4400024;38.72;41.27
116986532;-3.369995;38.8;41.19
116996528;-3.2899933;38.87;41.12
117006508;-3.199997;38.95;41.04
117016500;-3.0899963;39.05;40.94
117026500;-2.9799957;39.11;40.88
117036488;-2.850006;39.23;40.76
117046472;-2.7100067;39.3;40.69
117056464;-2.5599976;39.42;40.57
117066464;-2.399994;39.5;40.49
