t (µs);roll (deg);T_sample (µs)
55482824;-5,9299927;9988,000
55492824;-4,9299927;10000,000
55502808;-3,869995;9984,000
55512808;-2,630005;10000,000
55522788;-1,1499939;9980,000
55532780;0,47999573;9992,000
55542760;2,2700043;9980,000
55552768;4,1399994;10008,000
55562768;6;10000,000
55572756;7,779999;9988,000
55582756;9,429993;10000,000
55592724;10,889999;9968,000
55602732;12,089996;10008,000
55612708;13,0099945;9976,000
55622704;13,639999;9996,000
55632720;14,020004;10016,000
55642700;14,229996;9980,000
55652676;14,330002;9976,000
55662664;14,339996;9988,000
55672652;14,270004;9988,000
55682640;14,130005;9988,000
55692628;13,929993;9988,000
55702616;13,649994;9988,000
55712620;13,270004;10004,000
55722608;12,7599945;9988,000
55732604;12,110001;9996,000
55742588;11,279999;9984,000
55752572;10,270004;9984,000
55762572;9,080002;10000,000
55772552;7,7100067;9980,000
55782552;6,2100067;10000,000
55792544;4,6100006;9992,000
55802532;2,9900055;9988,000
55812532;1,4299927;10000,000
55822532;-0,02999878;10000,000
55832516;-1,3600006;9984,000
55842500;-2,5899963;9984,000
55852500;-3,7200012;10000,000
55862480;-4,7599945;9980,000
55872464;-5,7299957;9984,000
55882464;-6,6799927;10000,000
55892472;-7,630005;10008,000
55902460;-8,610001;9988,000
55912460;-9,649994;10000,000
55922448;-10,7400055;9988,000
55932816;-11,839996;10368,000
55942412;-12,940002;9596,000
55952400;-14,039993;9988,000
55962408;-15,089996;10008,000
55972408;-16,070007;10000,000
55982388;-17;9980,000
55992380;-18;9992,000
