t (µs);roll (deg);T_sample (µs)
47909448;-35,229996;9988,000
47919428;-36,070007;9980,000
47929428;-36,83;10000,000
47939420;-37,479996;9992,000
47949408;-37,940002;9988,000
47959384;-38,199997;9976,000
47969380;-38,240005;9996,000
47979352;-38,039993;9972,000
47989364;-37,509995;10012,000
47999344;-36,42;9980,000
48009328;-34,61;9984,000
48019340;-32;10012,000
48029344;-28,61;10004,000
48039328;-24,570007;9984,000
48049312;-20,059998;9984,000
48059312;-15,350006;10000,000
48069300;-10,610001;9988,000
48079300;-6,029999;10000,000
48089284;-1,7700043;9984,000
48099284;2,0700073;10000,000
48109272;5,419998;9988,000
48119260;8,350006;9988,000
48129264;10,889999;10004,000
48139240;13,119995;9976,000
48149240;15,100006;10000,000
48159232;16,919998;9992,000
48169216;18,699997;9984,000
48179192;20,479996;9976,000
48189196;22,350006;10004,000
48199188;24,320007;9992,000
48209164;26,339996;9976,000
48219172;28,410004;10008,000
48229164;30,460007;9992,000
48239156;32,429993;9992,000
48249128;34,25;9972,000
48259132;35,880005;10004,000
48269124;37,309998;9992,000
48279128;38,559998;10004,000
48289100;39,559998;9972,000
48299100;40,270004;10000,000
48309088;40,61;9988,000
48319068;40,47;9980,000
48329064;39,850006;9996,000
48339044;38,67;9980,000
48349028;36,960007;9984,000
48359020;34,740005;9992,000
48369020;32,03;10000,000
48379020;28,86;10000,000
48389012;25,270004;9992,000
48398992;21,320007;9980,000
48408996;17,070007;10004,000
48418976;12,580002;9980,000
48428988;7,970001;10012,000
48438964;3,3600006;9976,000
48448976;-1,1900024;10012,000
48458944;-5,5399933;9968,000
48468936;-9,520004;9992,000
48478932;-12,860001;9996,000
48488940;-15,389999;10008,000
48498920;-16,970001;9980,000
48508912;-17,580002;9992,000
48518896;-17,229996;9984,000
48528872;-16,070007;9976,000
48538876;-14,199997;10004,000
48548876;-11,7599945;10000,000
48558864;-8,889999;9988,000
48568876;-5,6799927;10012,000
48578848;-2,2700043;9972,000
48588852;1,3200073;10004,000
48598844;5,050003;9992,000
48608836;8,889999;9992,000
48618812;12,899994;9976,000
48628804;17;9992,000
48638816;21,009995;10012,000
48648796;24,809998;9980,000
48658776;28,369995;9980,000
48668764;31,630005;9988,000
48678760;34,53;9996,000
48688760;36,92;10000,000
48698756;38,699997;9996,000
48708732;39,789993;9976,000
48718744;40,160004;10012,000
48728712;39,83;9968,000
48738716;38,809998;10004,000
48748684;37,149994;9968,000
48758684;34,880005;10000,000
48768676;32,14;9992,000
48778676;29,020004;10000,000
48788664;25,630005;9988,000
48798648;22,020004;9984,000
48808640;18,279999;9992,000
48818644;14,429993;10004,000
48828636;10,470001;9992,000
48838636;6,5;10000,000
48848636;2,5700073;10000,000
48858616;-1,2200012;9980,000
48868584;-4,830002;9968,000
48878580;-8,190002;9996,000
48888576;-11,300003;9996,000
48898592;-14,149994;10016,000
48908556;-16,729996;9964,000
48918560;-18,979996;10004,000
48928540;-20,940002;9980,000
48938524;-22,649994;9984,000
48948524;-24,080002;10000,000
48958500;-25,240005;9976,000
48968512;-26,169998;10012,000
48978508;-26,899994;9996,000
48988492;-27,490005;9984,000
48998480;-27,949997;9988,000
49008472;-28,259995;9992,000
49018472;-28,440002;10000,000
49028456;-28,509995;9984,000
49038448;-28,449997;9992,000
49048420;-28,220001;9972,000
49058420;-27,720001;10000,000
49068432;-26,869995;10012,000
49078400;-25,520004;9968,000
49088408;-23,619995;10008,000
49098400;-21,130005;9992,000
49108388;-18,070007;9988,000
49118372;-14,539993;9984,000
49128372;-10,679993;10000,000
49138352;-6,630005;9980,000
49148352;-2,5;10000,000
49158336;1,6399994;9984,000
49168364;5,7100067;10028,000
49178344;9,669998;9980,000
49188336;13,419998;9992,000
49198312;16,929993;9976,000
49208300;20,25;9988,000
49218304;23,410004;10004,000
49228284;26,39;9980,000
49238280;29,160004;9996,000
49248268;31,690002;9988,000
49258248;33,89;9980,000
49268264;35,690002;10016,000
49278244;37,009995;9980,000
49288232;37,789993;9988,000
49298224;38;9992,000
49308200;37,660004;9976,000
49318184;36,809998;9984,000
49328192;35,429993;10008,000
49338172;33,53;9980,000
49348180;31,149994;10008,000
49358172;28,36;9992,000
49368148;25,270004;9976,000
49378148;22;10000,000
49388140;18,630005;9992,000
49398144;15,149994;10004,000
49408120;11,600006;9976,000
49418120;7,9600067;10000,000
49428108;4,220001;9988,000
49438132;0,47999573;10024,000
49448084;-3,1699982;9952,000
49458092;-6,630005;10008,000
49468080;-9,809998;9988,000
49478080;-12,649994;10000,000
49488072;-15,119995;9992,000
49498044;-17,220001;9972,000
49508040;-18,990005;9996,000
49518040;-20,509995;10000,000
49528024;-21,850006;9984,000
49538004;-23,070007;9980,000
49548004;-24,11;10000,000
49557996;-24,910004;9992,000
49567984;-25,460007;9988,000
49577980;-25,830002;9996,000
49587960;-26,119995;9980,000
49597952;-26,449997;9992,000
49607952;-26,809998;10000,000
49617940;-27,220001;9988,000
49627924;-27,660004;9984,000
49637924;-28,020004;10000,000
49647916;-28,259995;9992,000
49657900;-28,330002;9984,000
49667912;-28,220001;10012,000
49677876;-27,89;9964,000
49687864;-27,270004;9988,000
49697856;-26,279999;9992,000
49707856;-24,770004;10000,000
49717852;-22,619995;9996,000
49727848;-19,820007;9996,000
49737832;-16,419998;9984,000
49747832;-12,630005;10000,000
49757828;-8,630005;9996,000
49767804;-4,5599976;9976,000
49777820;-0,5200043;10016,000
49787796;3,4600067;9976,000
49797816;7,2899933;10020,000
49807788;10,910004;9972,000
49817776;14,360001;9988,000
49827772;17,720001;9996,000
49837760;21,119995;9988,000
49847740;24,580002;9980,000
49857728;28,020004;9988,000
49867716;31,270004;9988,000
49877700;34,130005;9984,000
49887720;36,440002;10020,000
49897696;38,059998;9976,000
49907700;38,899994;10004,000
49917684;38,929993;9984,000
49927676;38,179993;9992,000
49937648;36,690002;9972,000
49947632;34,600006;9984,000
49957620;32,059998;9988,000
49967640;29,190002;10020,000
49977608;26,11;9968,000
49987608;22,929993;10000,000
49997604;19,720001;9996,000
50007608;16,559998;10004,000
50017600;13,449997;9992,000
50027592;10,350006;9992,000
50037588;7,2299957;9996,000
50047576;4,0599976;9988,000
50057564;0,83999634;9988,000
50067540;-2,369995;9976,000
50077532;-5,4900055;9992,000
50087532;-8,410004;10000,000
50097512;-11,050003;9980,000
50107520;-13,350006;10008,000
50117504;-15,2599945;9984,000
50127500;-16,740005;9996,000
50137500;-17,729996;10000,000
50147488;-18,220001;9988,000
50157472;-18,25;9984,000
50167480;-17,949997;10008,000
50177440;-17,369995;9960,000
50187444;-16,529999;10004,000
50197432;-15,380005;9988,000
50207420;-13,800003;9988,000
50217420;-11,669998;10000,000
50227396;-9,020004;9976,000
50237400;-5,949997;10004,000
50247400;-2,600006;10000,000
50257408;0,94000244;10008,000
50267364;4,529999;9956,000
50277372;8,020004;10008,000
50287372;11,309998;10000,000
50297368;14,389999;9996,000
50307352;17,289993;9984,000
50317332;20,020004;9980,000
50327368;22,600006;10036,000
50337348;25,020004;9980,000
50347320;27,270004;9972,000
50357328;29,279999;10008,000
50367316;30,979996;9988,000
50377304;32,309998;9988,000
50387284;33,17;9980,000
50397260;33,520004;9976,000
50407252;33,28;9992,000
50417240;32,399994;9988,000
50427224;30,86;9984,000
50437200;28,710007;9976,000
50447200;26,050003;10000,000
50457208;22,960007;10008,000
50467204;19,490005;9996,000
50477192;15,690002;9988,000
50487176;11,619995;9984,000
50497172;7,3899994;9996,000
50507156;3,130005;9984,000
50517156;-1,0299988;10000,000
50527140;-4,9799957;9984,000
50537140;-8,539993;10000,000
50547136;-11,649994;9996,000
50557128;-14,279999;9992,000
50567112;-16,440002;9984,000
