t (s);roll (deg);TL (%);TR (%)
81374204;0.6799927;40.13;39.86
81384192;0.6300049;40.08;39.91
81394188;0.58000183;40.09;39.9
81404176;0.5299988;40.06;39.93
81414168;0.4900055;40.05;39.94
81424164;0.44000244;40.0;39.99
81434164;0.38000488;39.98;40.01
81444128;0.33000183;39.97;40.02
81454140;0.2899933;39.96;40.03
81464140;0.22999573;39.92;40.07
81474104;0.19000244;39.94;40.05
81484116;0.1499939;39.91;40.08
81494508;0.11000061;39.92;40.07
81504108;0.070007324;39.89;40.1
81514116;0.039993286;39.91;40.08
81524092;0.020004272;39.92;40.07
81534100;0.0;39.92;40.07
81544068;-0.020004272;39.94;40.05
81554088;-0.039993286;39.89;40.1
81564060;-0.05999756;39.92;40.07
81574052;-0.08000183;39.9;40.09
81584056;-0.08999634;39.91;40.08
81594436;-0.1000061;39.92;40.07
81604052;-0.11999512;39.91;40.08
81614004;-0.11999512;39.93;40.06
81624004;-0.13999939;39.89;40.1
81634008;-0.1499939;39.88;40.11
81644016;-0.16999817;39.88;40.11
81654016;-0.19000244;39.85;40.14
81663972;-0.19999695;39.86;40.13
81673960;-0.22000122;39.86;40.13
81683964;-0.22999573;39.87;40.12
81693960;-0.2400055;39.84;40.15
81703964;-0.25;39.87;40.12
81713948;-0.2599945;39.86;40.13
81723944;-0.2599945;39.88;40.11
81733920;-0.27000427;39.87;40.12
81743908;-0.27000427;39.87;40.12
81753928;-0.27000427;39.88;40.11
81763944;-0.27000427;39.9;40.09
81773908;-0.2599945;39.92;40.07
81783900;-0.25;39.91;40.08
81793916;-0.2400055;39.93;40.06
81803872;-0.22000122;39.97;40.02
81813864;-0.21000671;39.97;40.02
81823852;-0.17999268;40.02;39.97
81833852;-0.1499939;40.01;39.98
81844264;-0.11999512;40.06;39.93
81853844;-0.08000183;40.08;39.91
81863832;-0.039993286;40.11;39.88
81873824;0.009994507;40.16;39.83
81884220;0.039993286;40.14;39.85
81893808;0.1000061;40.22;39.77
81903772;0.1499939;40.24;39.75
81913776;0.21000671;40.26;39.73
81923776;0.27000427;40.32;39.67
81933772;0.33000183;40.35;39.64
81943744;0.41999817;40.47;39.52
81953752;0.5099945;40.49;39.5
81963740;0.58999634;40.52;39.47
81973748;0.69000244;40.61;39.38
81983728;0.7899933;40.66;39.33
81993716;0.8899994;40.72;39.27
82003696;0.9900055;40.74;39.25
82013692;1.1000061;40.82;39.17
82023696;1.2100067;40.86;39.13
82033672;1.3099976;40.88;39.11
82044068;1.4199982;40.94;39.05
82053684;1.5200043;40.97;39.02
82063684;1.6100006;40.99;39.0
82073652;1.7200012;41.06;38.93
82083628;1.8099976;41.05;38.94
82093656;1.8999939;41.09;38.9
82103640;1.9799957;41.09;38.9
82113628;2.0399933;41.06;38.93
82123628;2.0099945;40.72;39.27
82133588;1.8200073;40.14;39.85
82143616;1.4199982;39.27;40.72
82153580;0.80999756;38.3;41.69
82163592;0.02999878;37.39;42.6
82173584;-0.91000366;36.48;43.51
82183568;-1.9700012;35.64;44.35
82193524;-3.119995;34.85;45.14
82203544;-4.3200073;34.22;45.77
82213536;-5.5599976;33.55;46.44
82223536;-6.8200073;32.96;47.03
82233536;-8.059998;32.5;47.49
82243516;-9.289993;32.0;47.99
82253516;-10.470001;31.71;48.28
82263532;-11.619995;31.32;48.67
82273484;-12.720001;31.02;48.97
82283476;-13.779999;30.72;49.27
82293472;-14.820007;30.37;49.62
82303476;-15.839996;29.99;50.0
82313456;-16.820007;29.71;50.28
82323448;-17.779999;29.38;50.61
82333432;-18.710007;29.11;50.88
82343456;-19.559998;29.03;50.96
82353416;-20.339996;28.89;51.1
82363408;-21.080002;28.76;51.23
82373404;-21.75;28.71;51.28
82383400;-22.36;28.61;51.38
82393392;-22.919998;28.61;51.38
82403384;-23.449997;28.44;51.55
82413376;-23.940002;28.41;51.58
82423376;-24.36;28.43;51.56
82433348;-24.720001;28.49;51.5
82443340;-25.020004;28.57;51.42
82453352;-25.229996;28.78;51.21
82463340;-25.369995;28.97;51.02
82473316;-25.440002;29.16;50.83
82483308;-25.460007;29.32;50.67
82493312;-25.429993;29.52;50.47
82503296;-25.339996;29.73;50.26
82513288;-25.190002;29.98;50.01
82523280;-24.979996;30.3;49.69
82533268;-24.710007;30.62;49.37
82543260;-24.369995;30.98;49.01
82553264;-23.960007;31.36;48.63
82563244;-23.490005;31.77;48.22
82573256;-22.990005;32.11;47.88
82583632;-22.429993;32.45;47.54
82593232;-21.820007;33.0;46.99
82603216;-21.160004;33.39;46.6
82613228;-20.460007;33.81;46.18
82623240;-19.710007;34.29;45.7
82633212;-18.899994;34.82;45.17
82643196;-18.039993;35.36;44.63
82653180;-17.14;35.86;44.13
82663192;-16.210007;36.34;43.65
